year,month,day,hour,lat,depth,lon
2017,10,24,21,-43.3612297450802,3488,54.95359880822674
2017,10,24,21,-43.357371215324285,3489,54.94868802210323
2017,10,24,21,-43.3575320977763,3490,54.9486633972224
2017,10,24,21,-43.356858601405726,3491,54.94843019170763
2017,10,24,21,-43.35716545831431,3492,54.948637006920954
2017,10,24,22,-43.35424799605237,3493,54.94130150076774
2017,10,24,22,-43.354287851154965,3494,54.94109077588773
2017,10,24,22,-43.35972037160437,3495,54.8562083182814
2017,10,24,22,-43.35456339534446,3496,54.941485579457435
2017,10,24,22,-43.35365345089525,3497,54.941046369426346
2017,10,24,22,-43.351881607210096,3498,54.935016930964615
2017,10,24,22,-43.351051264813975,3499,54.93278825381008
2017,10,24,22,-43.34661672505155,3500,54.925100058237675
2017,10,24,22,-43.346730957049694,3501,54.9253062044166
2017,10,24,22,-43.346540871589305,3502,54.92542197181472
2017,10,24,22,-43.34657920127879,3503,54.925318632644355
2017,10,24,23,-43.338488200254275,3504,54.92929759511567
2017,10,24,23,-43.33847947402249,3505,54.92927114037396
2017,10,24,23,-43.33838339678496,3506,54.929199798796034
2017,10,24,23,-43.33826105287381,3507,54.9288853556012
2017,10,24,23,-43.337725813773254,3508,54.9247764024153
2017,10,24,23,-43.33772247970957,3509,54.9248906025896
2017,10,24,23,-43.33766731199443,3510,54.92511406521378
2017,10,24,23,-43.33770503370953,3511,54.92507083105002
2017,10,24,23,-43.33672402584176,3512,54.91654872180775
2017,10,24,23,-43.336802701097746,3513,54.9165798901608
2017,10,24,23,-43.33696918397828,3514,54.91603910713113
2017,10,25,0,-43.33720422532879,3515,54.906476400560415
2017,10,25,0,-43.33714738623557,3516,54.90657064922215
2017,10,25,0,-43.336787929812175,3517,54.89483569370832
2017,10,25,0,-43.33671118280529,3518,54.8946920710989
2017,10,25,0,-43.336672498288486,3519,54.89568101102439
2017,10,25,0,-43.33590860064227,3520,54.886786222884425
2017,10,25,0,-43.336445434374056,3521,54.88775724774877
2017,10,25,0,-43.33610534127549,3522,54.8872806155138
2017,10,25,1,-43.334300532995655,3523,54.875579614054004
2017,10,25,1,-43.332265409597184,3524,54.866018573840506
2017,10,25,1,-43.33232371831579,3525,54.86591502968536
2017,10,25,1,-43.33176018796599,3526,54.86494495383585
2017,10,25,2,-43.33060571428258,3527,54.85285523531167
2017,10,25,2,-43.3304544913073,3528,54.85233326728582
2017,10,25,2,-43.33046362516516,3529,54.85231167149844
2017,10,25,2,-43.330776503004856,3530,54.84324581219226
2017,10,25,2,-43.33173416974503,3531,54.838253795498964
2017,10,25,2,-43.33204379439783,3532,54.83784978557482
2017,10,25,2,-43.33198877838454,3533,54.83784059448504
2017,10,25,3,-43.33367812119831,3534,54.8322549495505
2017,10,25,3,-43.33375050180647,3535,54.83179425518324
2017,10,25,3,-43.33447607826606,3536,54.82518258713289
2017,10,25,3,-43.33426187287395,3537,54.82523708483007
2017,10,25,3,-43.33428899194315,3538,54.824914890703056
2017,10,25,4,-43.335485448858755,3539,54.81892340759374
2017,10,25,4,-43.33580184607108,3540,54.818735392394686
2017,10,25,4,-43.33555414509193,3541,54.818634598693244
2017,10,25,4,-43.33592782114672,3542,54.8185598418541
2017,10,25,4,-43.336119978356436,3543,54.817861733207074
2017,10,25,4,-43.3376697742184,3544,54.81236620890103
2017,10,25,4,-43.33741636484688,3545,54.811604504372575
2017,10,25,4,-43.3376369358138,3546,54.8116991367172
2017,10,25,4,-43.3378662114616,3547,54.81131463894766
2017,10,25,4,-43.3375416521663,3548,54.81114943269848
2017,10,25,5,-43.34274817878952,3549,54.803785715497504
2017,10,25,5,-43.347739155777006,3550,54.809259176158676
2017,10,25,5,-43.347679908231385,3551,54.80950147205101
2017,10,25,5,-43.34781134026927,3552,54.809330502691076
2017,10,25,5,-43.34796685921789,3553,54.809158704592505
2017,10,25,5,-43.34810689427594,3554,54.808738647330415
2017,10,25,5,-43.34846935378251,3555,54.80875604909088
2017,10,25,6,-43.3498131713431,3556,54.81657432241296
2017,10,25,6,-43.35040342198192,3557,54.8164518154214
2017,10,25,6,-43.350243801049565,3558,54.82046538550639
2017,10,25,6,-43.3504196270742,3559,54.820599301440446
2017,10,25,7,-43.33952204537224,3560,54.823751749298296
2017,10,25,7,-43.33073491952521,3561,54.820498043129646
2017,10,25,8,-43.315622734016934,3562,54.80837187854579
2017,10,25,8,-43.315281625715095,3563,54.80924324267557
2017,10,25,8,-43.31509747633323,3564,54.80895608369565
2017,10,25,8,-43.315907204363754,3565,54.80942725883123
2017,10,25,8,-43.316279668073776,3566,54.80906198403506
2017,10,25,9,-43.309638806831806,3567,54.80162350926741
2017,10,25,9,-43.30933103095708,3568,54.80187596237204
2017,10,25,9,-43.303006812050896,3569,54.79274041296279
2017,10,25,9,-43.296558913766525,3570,54.78643572702627
2017,10,25,10,-43.29123407390653,3571,54.777694150023535
2017,10,25,11,-43.27963703169932,3572,54.76265371373888
2017,10,25,11,-43.27993074515069,3573,54.76303414347282
2017,10,25,11,-43.27823785941053,3574,54.75599749023307
2017,10,25,12,-43.278577765579605,3575,54.752390892367906
2017,10,25,12,-43.27875630176009,3576,54.75220332979615
2017,10,25,12,-43.27870276240979,3577,54.75240035717327
2017,10,25,12,-43.2787057360339,3578,54.74716363910038
2017,10,25,12,-43.279123006538775,3579,54.74565172257584
2017,10,25,12,-43.278943007131424,3580,54.74724606124426
2017,10,25,12,-43.27701323073672,3581,54.733398318396226
2017,10,25,12,-43.27688607482057,3582,54.7332229051248
2017,10,25,12,-43.2770994834299,3583,54.7348266979581
2017,10,25,12,-43.27690554561961,3584,54.73388235143125
2017,10,25,13,-43.27559811075469,3585,54.719277256449395
2017,10,25,13,-43.27557219915041,3586,54.719554304080496
2017,10,25,13,-43.27534242884881,3587,54.720151160895064
2017,10,25,13,-43.27422362841858,3588,54.70618384303139
2017,10,25,13,-43.27445791742712,3589,54.70587377192415
2017,10,25,13,-43.274523418967846,3590,54.70567745367028
2017,10,25,14,-43.270352705647134,3591,54.69549095420045
2017,10,25,14,-43.27051124675785,3592,54.695469595674865
2017,10,25,14,-43.27069897595968,3593,54.69562466322145
2017,10,25,14,-43.27038268049363,3594,54.695704563640064
2017,10,25,14,-43.269897625445175,3595,54.695928764945705
2017,10,25,14,-43.270072466764404,3596,54.69578832589254
2017,10,25,14,-43.268561227659006,3597,54.685042515604216
2017,10,25,14,-43.26869259850669,3598,54.68505565303617
2017,10,25,14,-43.26861114982961,3599,54.68509079499998
2017,10,25,14,-43.265432275947774,3600,54.67243279999095
2017,10,25,15,-43.26546380764164,3601,54.672623600946025
2017,10,25,15,-43.26523413300663,3602,54.67254829269434
2017,10,25,15,-43.263109513175294,3603,54.662576195698435
2017,10,25,15,-43.26351295174828,3604,54.66398532274411
2017,10,25,15,-43.26301229667201,3605,54.662859438042
2017,10,25,15,-43.261865448716534,3606,54.65354517058114
2017,10,25,15,-43.26171968541289,3607,54.6535775268466
2017,10,25,15,-43.2617769738475,3608,54.653426217227505
2017,10,25,15,-43.26155432078839,3609,54.653674203412606
2017,10,25,16,-43.25953579275773,3610,54.64608517514617
2017,10,25,16,-43.258556900357505,3611,54.645244869129435
2017,10,25,16,-43.259677983940584,3612,54.64534235145521
2017,10,25,16,-43.2570897161436,3613,54.63457851365304
2017,10,25,16,-43.25724445269018,3614,54.634573832082694
2017,10,25,16,-43.25713388515982,3615,54.63500936708458
2017,10,25,16,-43.25698754486803,3616,54.63441781206186
2017,10,25,16,-43.2565957788952,3617,54.625031447916896
2017,10,25,16,-43.25656923327068,3618,54.62478475208645
2017,10,25,16,-43.256220721012404,3619,54.62434574089694
2017,10,25,16,-43.256360427861786,3620,54.62481585191083
2017,10,25,17,-43.25741737695281,3621,54.61887052897242
2017,10,25,17,-43.25756542772632,3622,54.61876905032703
2017,10,25,17,-43.25713528734366,3623,54.61906368700378
2017,10,25,17,-43.257252359541816,3624,54.61878767528476
2017,10,25,17,-43.26078971939643,3625,54.6018012471805
